Cartoonist_from_-title,Title_from_-title,Date_from_-title,_ - source_url,Publisher,_ - description,Authorities_only_entries
"Winter,  Mark",Richer Scale. ,6 January 2015,http://api.digitalnz.org/records/35314444/source,,"Accompanying note from cartoonist states 'It has just been announced that the yawning gap between the world's rich and poor has further increased'
Quantity: 1 digital cartoon(s).
Physical Description: Image file - Jpeg","""subject_authority"",""role"":null,""text"":""Income distribution"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Equality"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Digital images"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Cartoons (Commentary)"""
,,,,,,"""collection_parent"",""role"":null,""text"":""Winter, Mark 1958-:[Digital cartoons published from October 2007 in the Southland Times]"""
,,,,,,"""collection_root"",""role"":null,""text"":""Winter, Mark 1958-:[Digital cartoons published from October 2007 in the Southland Times]"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Distribution (Economic theory)"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Wealth"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Business"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Economics"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Finance"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Management"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Social sciences"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Civilization"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Political science"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Sociology"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Pictures"""
"Hubbard,  James",Why does one find one's self caught up in this kind of scandal?,8 January 2015,http://api.digitalnz.org/records/35314440/source,Setford News Photo Agency,"Shows Prince Andrew wearing coronation robes (instead of spots there are Playboy logos on his miniver collar). He is reading from a newspaper with the headline 'Prince Andrew caught up in sex scandal. Denies all accusations'.
Quantity: 1 digital cartoon(s).
Physical Description: Image file - Jpeg","""name_authority"",""role"":""(as the publisher)"",""text"":""Setford News Photo Agency"""
,,,,,,"""name_authority"",""role"":""(Subject)"",""text"":""Andrew, Prince, Duke of York, 1960-"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Princes - Conduct of life"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Sex scandals"""
,,,,,,"""place_authority"",""role"":null,""text"":""United Kingdom"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Digital images"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Cartoons (Commentary)"""
,,,,,,"""collection_parent"",""role"":null,""text"":""Hubbard, James, 1949- :[Digital caricatures and cartoons published from 1999-2005, and from 2008 onward]"""
,,,,,,"""collection_root"",""role"":null,""text"":""Hubbard, James, 1949- :[Digital caricatures and cartoons published from 1999-2005, and from 2008 onward]"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Scandals"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""History"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Pictures"""
"Winter,  Mark",Year of the sheep. ,10 January 2015,http://api.digitalnz.org/records/35314452/source,,"Accompanying note from cartoonist states '2015 is the Chinese year of the sheep'. Shows a wolf in sheep skin.
Quantity: 1 digital cartoon(s).
Physical Description: Image file - Jpeg","""subject_authority"",""role"":null,""text"":""Chinese New Year"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Wolves"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Sheep"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Digital images"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Cartoons (Commentary)"""
,,,,,,"""collection_parent"",""role"":null,""text"":""Winter, Mark 1958-:[Digital cartoons published from October 2007 in the Southland Times]"""
,,,,,,"""collection_root"",""role"":null,""text"":""Winter, Mark 1958-:[Digital cartoons published from October 2007 in the Southland Times]"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Holidays"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Memorials"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Hours of labour"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Days"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Manners and customs"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Historic sites"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Work"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Calendar"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Ethnology"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Civilization"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Archaeology"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""History"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Human behaviour"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Astronomy"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Human beings"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Anthropology"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Social sciences"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Psychology"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Physical anthropology"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Physical sciences"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Hominids"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Philosophy"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Soul"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Science"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Primates"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Humanities"""
,,,,,,"""authority_id"":221960,""name"":""broad_related_authority"",""role"":null,""text"":""Future life"""
,,,,,,"""authority_id"":284551,""name"":""broad_related_authority"",""role"":null,""text"":""Mammals"""
,,,,,,"""authority_id"":582868,""name"":""broad_related_authority"",""role"":null,""text"":""Learning and scholarship"""
,,,,,,"""authority_id"":1117164,""name"":""broad_related_authority"",""role"":null,""text"":""Eschatology"""
,,,,,,"""authority_id"":284550,""name"":""broad_related_authority"",""role"":null,""text"":""Vertebrates"""
,,,,,,"""authority_id"":188163,""name"":""broad_related_authority"",""role"":null,""text"":""Intellectual life"""
,,,,,,"""authority_id"":321134,""name"":""broad_related_authority"",""role"":null,""text"":""Theology, Doctrinal"""
,,,,,,"""authority_id"":1195939,""name"":""broad_related_authority"",""role"":null,""text"":""Chordata"""
,,,,,,"""authority_id"":690101,""name"":""broad_related_authority"",""role"":null,""text"":""Culture"""
,,,,,,"""authority_id"":62650,""name"":""broad_related_authority"",""role"":null,""text"":""Theology"""
,,,,,,"""authority_id"":68662,""name"":""broad_related_authority"",""role"":null,""text"":""Animals"""
,,,,,,"""authority_id"":149047,""name"":""broad_related_authority"",""role"":null,""text"":""Christianity"""
,,,,,,"""authority_id"":1214314,""name"":""broad_related_authority"",""role"":null,""text"":""Organisms"""
